epoch,step,train/loss,train/reward,val/reward
0,49,-531.189208984375,-3298.86376953125,
0,99,-18.16741943359375,-3136.98974609375,
0,149,308.8675537109375,-3110.810791015625,
0,195,,,-2893.814453125
1,199,-6211.716796875,-3050.2939453125,
1,249,-2109.95361328125,-2956.8330078125,
1,299,386.1163024902344,-2849.63232421875,
1,349,1956.8291015625,-2822.3330078125,
1,391,,,-2739.881103515625
2,399,-1737.385498046875,-2807.78076171875,
2,449,-228.80909729003906,-2756.65185546875,
2,499,776.703125,-2687.160400390625,
2,549,1366.3746337890625,-2666.5048828125,
2,587,,,-2600.962890625
